class,org,org_type,pi_first,pi_sur,title,pclass,status,owner,end,grant,scheme,start,total
RF & Microwave Technology,University of Southampton,LEAD ORGANISATION,Peter,Ashburn,Feasibility of Novel Deca-nanometer vertical MOSFETs for low-cost Radio Frequency Application,Info. & commun. Technol.,Closed,EPSRC,8/31/2010,Research Grant,Standard Research,3/1/2007,648247.98
Fuel Cell Technologies,Provector Ltd,PROJECT PARTNER,Nicholas Dudley,Vaughan,A Novel Control Systems Architecture for Hybrid Electric and Fuel Cell Vehicles,Energy,Closed,EPSRC,8/31/2010,Research Grant,Standard Research,3/1/2007,218914.77
RF & Microwave Technology,Lancaster University,LEAD ORGANISATION,Rebecca,Seviour,High Power Photonic Band Gap Engineering: Accelerators and RF Sources,Info. & commun. Technol.,Closed,EPSRC,9/30/2010,Research Grant,Standard Research,3/1/2007,735928.82
Materials Characterisation,Queen's University of Belfast,LEAD ORGANISATION,Anthony,Paxton,Atomistic studies of dislocation-interface interactions in lamellar Ti-Al,Materials sciences,Closed,EPSRC,2/28/2011,Research Grant,Standard Research,3/1/2007,444419.85
Biophysics,University of Edinburgh,LEAD ORGANISATION,Wilson,Poon,The non-linear physics of driven colloids and bacteria,Biomolecules & biochemistry,Closed,EPSRC,2/29/2012,Fellowship,Senior Fellowship,3/1/2007,1129351.95
Surfaces & Interfaces,HEFCE,COFUNDER,Gabriel,Aeppli,New Tools for Nanometrology,Catalysis & surfaces,Closed,EPSRC,8/31/2012,Research Grant,Science and Innovation Awards,3/1/2007,2776769.99
Catalysis & Applied Catalysis,Cardiff University,LEAD ORGANISATION,James,Platts,Iminium Ion Catalysis: Chemical and theoretical tools to understand the catalytic cycle,Catalysis & surfaces,Closed,EPSRC,3/4/2010,Research Grant,Standard Research,3/5/2007,256641.34
Med.Instrument.Device& Equip.,University of Exeter,LEAD ORGANISATION,Charles,Winlove,Effects of Ultrasound on the Cells of the Vascular Wall,Medical & health interface,Closed,EPSRC,4/4/2010,Research Grant,Standard Research,3/5/2007,118817.54
Materials Synthesis & Growth,The University of Manchester,LEAD ORGANISATION,Brian,Saunders,Reversible Temperature-triggered Particle Capture by Modified Surfaces,Materials sciences,Closed,EPSRC,3/11/2009,Research Grant,Standard Research,3/12/2007,169971.63
Med.Instrument.Device& Equip.,Imperial College London,LEAD ORGANISATION,Sergei,Kazarian,FTIR Spectroscopic Imaging Applied to Atherosclerosis,Medical & health interface,Closed,EPSRC,3/14/2009,Research Grant,Standard Research,3/15/2007,188185.55
RF & Microwave Technology,Open House London,COLLABORATOR,Anthony,Brown,Frequency Selective Surfaces for Long Wavelengths,Info. & commun. Technol.,Closed,EPSRC,3/18/2010,Research Grant,Standard Research,3/19/2007,258064.04
Tropospheric Processes,NERC British Antarctic Survey,LEAD ORGANISATION,Lucy,Carpenter,Impact of combined iodine and bromine release on the Arctic atmosphere (COBRA).,Atmospheric phys. & chemistry,Closed,NERC,3/18/2010,Research Grant,Directed Pre FEC,3/19/2007,58559.79
Sustainable Energy Vectors,University of Nottingham,LEAD ORGANISATION,Christopher,Johnson,SCORE - (S)tove for (CO)oking; (R)efrigeration and (E)lectricity supply: an affordable appliance for remote and rural communities,Energy,Closed,EPSRC,9/18/2012,Research Grant,Standard Research,3/19/2007,610480.77
Energy Efficiency,United Utilities Water Ltd,COFUNDER,Nigel,Graham,Delivering sustainable water systems by optimising existing infrastructure via improved knowledge; understanding and technology - project NEPTUNE,Energy,Closed,EPSRC,9/22/2010,Research Grant,Standard Research,3/23/2007,2345885.74
Lasers & Optics,University of Birmingham,LEAD ORGANISATION,William,Palin,Dynamic monitoring of refractive index change through light-activated dental fillings,"Optics, photonics & lasers",Closed,EPSRC,9/22/2010,Research Grant,First Grant Scheme,3/23/2007,197794.6
Environment & Health,Scottish Association For Marine Science,LEAD ORGANISATION,Keith,Davidson,Relating harmful phytoplankton to shellfish toxicity and human health,Medical & health interface,Closed,NERC,3/30/2008,Research Grant,Directed (Research Programmes),3/31/2007,28006.34
Environment & Health,University of Sussex,LEAD ORGANISATION,Michael,Ramsey,Multiple Links Towards Integrating Teams for Understanding of Disease and Environment - Multitude,Medical & health interface,Closed,NERC,3/31/2008,Research Grant,Directed (Research Programmes),4/1/2007,29182.55
Environment & Health,University of Glasgow,LEAD ORGANISATION,Andrew,Tyler,Strategies to manage toxic cyanobacterial blooms in lakes: remote sensing; modelling and cost benefit analysis,Medical & health interface,Closed,NERC,1/31/2009,Research Grant,Directed (Research Programmes),4/1/2007,7756.76
Beyond the Standard Model,Lancaster University,LEAD ORGANISATION,Richard Geoffrey,Carter,LC-ABD Collaboration: Work Package 4; Task 4.2 Collimator Design,Particle physics - experiment,Closed,STFC,1/31/2009,Research Grant,PPRP,4/1/2007,115273.71
Data Handling & Storage,University College London,LEAD ORGANISATION,Mathew,Page,SWIFT UVOT Ops,Astronomy Observation,Closed,STFC,3/31/2009,Research Grant,Standard (FEC),4/1/2007,979834
Biomechanics & Rehabilitation,University of California Los Angeles,PROJECT PARTNER,Eric,Goodyer,Investigation of the relationship between vocal fold tension and electrical stimulation of the recurrent laryngeal nerve in a canine model,Medical & health interface,Closed,EPSRC,3/31/2009,Research Grant,Overseas Travel Grants (OTGS),4/1/2007,15755.85
Electrochemical Science & Eng.,The University of Manchester,LEAD ORGANISATION,Robert,Dryfe,A Contiunuous and Fully Scalable Interfacial Reactor for Nanoparticle Production,Catalysis & surfaces,Closed,EPSRC,6/30/2009,Research Grant,Discipline Hopping Awards,4/1/2007,54328.32
Boundary Layer Meteorology,Plymouth Marine Laboratory,LEAD ORGANISATION,Philip,Nightingale,A comparison of sea to air DMS flux measurements and the possible role of near- surface gradients,Atmospheric phys. & chemistry,Closed,NERC,6/30/2009,Research Grant,Directed (Research Programmes),4/1/2007,99720.18
Climate & Climate Change,University of Nottingham,COLLABORATOR,Nigel,Arnell,Global scale impacts of climate change: a multi-sectoral analysis,Climate & climate change,Closed,NERC,9/30/2009,Research Grant,Directed (Research Programmes),4/1/2007,177504.06
Ecosystem Scale Processes,Centre for Env Fisheries Aqua Sci CEFAS,LEAD ORGANISATION,Nigel,Arnell,Global scale impacts of climate change: a multi-sectoral analysis,Terrest. & freshwater environ.,Closed,NERC,9/30/2009,Research Grant,Directed (Research Programmes),4/1/2007,109320.41
Catalysis & Applied Catalysis,University of Edinburgh,LEAD ORGANISATION,Polly,Arnold,'EPSRC/NSF Workshop Collaborative Proposal' Catalytic oxidative C-H bond functionalisation with high oxidation state N-heterocyclic carbene complexes,Catalysis & surfaces,Closed,EPSRC,10/31/2009,Research Grant,Standard Research (Pre-FEC),4/1/2007,72982.34
Materials Processing,Queen Mary; University of London,LEAD ORGANISATION,Ton,Peijs,Commingled Biomaterials from Nature (COMBINE),Materials processing,Closed,EPSRC,12/31/2009,Research Grant,Technology Programme,4/1/2007,228793.42
Cosmology,Case Western Reserve University,COLLABORATOR,Timothy,Sumner,The ZEPLIN III Galactic Dark Matter Search,Particle astrophysics,Closed,STFC,1/31/2010,Research Grant,PPRP,4/1/2007,905694.76
Solar Technology,Schott Solar GmbH,PROJECT PARTNER,Ralph,Gottschalg,Fast Energy Rating for Photovoltaic Devices and Modules (FENRA),Energy,Closed,EPSRC,3/31/2010,Research Grant,Standard Research,4/1/2007,375109.83
Catalysis & Applied Catalysis,Imperial College London,LEAD ORGANISATION,Donna,Blackmond,Symmetry breaking via amplifying autocatalysis probed by microflow engineering,Catalysis & surfaces,Closed,EPSRC,9/30/2010,Research Grant,Standard Research,4/1/2007,381862.62
Lasers & Optics,University of Southampton,LEAD ORGANISATION,Lars,Nilsson,Cladding-pumped fibre Raman lasers and amplifiers,"Optics, photonics & lasers",Closed,EPSRC,9/30/2010,Research Grant,Standard Research,4/1/2007,514942.87
Quantum Optics & Information,University of Leeds,LEAD ORGANISATION,Almut,Beige,Cooling of Atoms in Optical Cavities by Collective Dynamics,"Optics, photonics & lasers",Closed,EPSRC,9/30/2010,Research Grant,Standard Research,4/1/2007,226367.21
Analytical Science,University of Warwick,LEAD ORGANISATION,Vasilios,Stavros,Ultrafast dynamics of the NH bond and its significance towards the photoresistive mechanism of nucleic bases and base-pairs,"Tools, technologies & methods",Closed,EPSRC,9/30/2010,Research Grant,Standard Research,4/1/2007,478059.62
Multiphase Flow,B P International Ltd,PROJECT PARTNER,Barry,Azzopardi,Improved Fluid Presentation for Phase Separators,Process engineering,Closed,EPSRC,11/30/2010,Research Grant,Standard Research,4/1/2007,455509.19
Materials Synthesis & Growth,University of Bristol,LEAD ORGANISATION,Martin,Kuball,NSF: An investigation into the properties of B12As2; B4C and their heterostructures,Materials sciences,Closed,EPSRC,12/31/2010,Research Grant,Standard Research,4/1/2007,418593.11
Optoelect. Devices & Circuits,University of Leeds,LEAD ORGANISATION,Edmund Harold,Linfield,The development of terahertz technology for physical; biological; and medical imaging and spectroscopy,Electrical engineering,Closed,EPSRC,3/31/2011,Research Grant,Standard Research,4/1/2007,871777.56
Fundamentals of Computing,University of Edinburgh,LEAD ORGANISATION,Alan,Bundy,The Integration and Interaction of Multiple Mathematical Reasoning Processes.,Info. & commun. Technol.,Closed,EPSRC,3/31/2011,Research Grant,Platform Grants,4/1/2007,922154.27
Climate & Climate Change,University of Cambridge,LEAD ORGANISATION,Keith,Shine,Continuum Absorption at Visible and Infrared Wavelengths and its Atmospheric Relevance (CAVIAR),Climate & climate change,Closed,NERC,3/31/2011,Research Grant,Consortiums (FEC),4/1/2007,246130.28
Quantum Optics & Information,University of Vienna,PROJECT PARTNER,George,Briggs,Resubmission of IMPRESS: Intra-Molecular Propagation of Electron Spin States,"Optics, photonics & lasers",Closed,EPSRC,3/31/2011,Research Grant,Standard Research,4/1/2007,416403.57
Climate & Climate Change,National Physical Laboratory (NPL),COLLABORATOR,Keith,Shine,Continuum Absorption at Visible and Infrared Wavelengths and its Atmospheric Relevance (CAVIAR),Climate & climate change,Closed,NERC,6/30/2011,Research Grant,Consortiums (FEC),4/1/2007,871963.31
Light-Matter Interactions,ICFO - The Institute of Photonic Sciences,COLLABORATOR,Carla,Faria,Alternative S-Matrix Approaches for Matter in Strong Laser Fields,Atomic & molecular physics,Closed,EPSRC,9/30/2011,Fellowship,Advanced Fellowship,4/1/2007,310014.06
