class,org,org_type,pi_first,pi_sur,title,pclass,status,owner,end,grant,scheme,start,total
Biomechanics & Rehabilitation,Michigan State University,COLLABORATOR,Timothy,Constandinou,Ultra Low Power Implantable Platform for Next Generation Neural Interfaces,Medical & health interface,Closed,EPSRC,9/30/2014,Research Grant,Standard Research,10/1/2010,517222.11
Energy - Nuclear,Imperial College London,LEAD ORGANISATION,David,Dye,Performance and Reliability of Metallic Materials for Nuclear Fission Power Generation,Energy,Closed,EPSRC,9/30/2014,Research Grant,Standard Research,10/1/2010,418117.78
Image & Vision Computing,Imperial College London,LEAD ORGANISATION,Daniel,Rueckert,Computer aided diagnosis of neurological damage to improve care for infants born prematurely,Info. & commun. Technol.,Closed,EPSRC,9/30/2014,Research Grant,Standard Research,10/1/2010,1023476.72
Microsystems,University of Southampton,LEAD ORGANISATION,Hywel,Morgan,Parallel electrophysiological characterization of sodium channels,Info. & commun. Technol.,Closed,EPSRC,9/30/2014,Research Grant,Standard Research,10/1/2010,533719.19
Med.Instrument.Device& Equip.,Newcastle University,LEAD ORGANISATION,Andrew,Jackson,Ultra Low Power Implantable Platform for Next Generation Neural Interfaces,Medical & health interface,Closed,EPSRC,9/30/2014,Research Grant,Standard Research,10/1/2010,257641.25
Analytical Science,Cranfield University,LEAD ORGANISATION,Ralph,Tatam,Multi-wavelength tunable lasers for gas spectroscopy,"Tools, technologies & methods",Closed,EPSRC,9/30/2014,Research Grant,Standard Research,10/1/2010,518128.06
Energy Efficiency,Tata Steel UK,PROJECT PARTNER,Malcolm,Eames,Re-Engineering the City 2020-2050: Urban Foresight and Transition Management,Energy,Closed,EPSRC,9/30/2014,Research Grant,Standard Research,10/1/2010,2206040.03
Fundamentals of Computing,Hewlett Packard plc,PROJECT PARTNER,Nigel,Smart,Privacy and Attestation Technologies,Info. & commun. Technol.,Closed,EPSRC,9/30/2014,Research Grant,Standard Research,10/1/2010,497177.78
Energy - Nuclear,University of Surrey,LEAD ORGANISATION,Patrick,Regan,Nuclear Data: Fission Yields; Decay Heat and Neutron Reaction Cross Sections,Energy,Closed,EPSRC,1/31/2015,Research Grant,Standard Research,10/1/2010,173963.78
Climate & Climate Change,Centre Alexandre Koyre,COLLABORATOR,Piers,Forster,SANDPIT: Integrated Assessment of Geoengineering Proposals (IAGP),Climate & climate change,Closed,EPSRC,2/28/2015,Research Grant,Standard Research,10/1/2010,1728839.86
Particle Technology,University of Bristol,LEAD ORGANISATION,Matthew,Watson,SPICE: Stratospheric Particle Injection for Climate Engineering,Materials processing,Closed,EPSRC,3/31/2015,Research Grant,Standard Research,10/1/2010,1609202.99
Magnetism/Magnetic Phenomena,University of Oxford,LEAD ORGANISATION,Radu,Coldea,Quantum frustration and criticality as new regimes of quantum matter,"Supercond, magn. &quant.fluids",Closed,EPSRC,3/31/2015,Research Grant,Standard Research,10/1/2010,545701.52
Hadron Physics,European Organization for Nuclear Research (CERN),COLLABORATOR,Matthew,Needham,Probing the flavour structure of New Physics with Bs mesons at LHCb,Nuclear physics,Active,STFC,9/30/2015,Fellowship,Advanced Fellowship (FEC),10/1/2010,480143.24
Med.Instrument.Device& Equip.,Institute of Cancer Research,LEAD ORGANISATION,Gail,ter Haar,Multimodality Techniques for Cancer Diagnosis and Therapy,Medical & health interface,Closed,EPSRC,9/30/2015,Research Grant,Platform Grants,10/1/2010,1400150.04
Lasers & Optics,Cranfield University,LEAD ORGANISATION,Ralph,Tatam,Engineering Photonics: Development and Application of Instrumentation and Sensors,"Optics, photonics & lasers",Closed,EPSRC,9/30/2015,Research Grant,Platform Grants,10/1/2010,1149466.38
Fluid Dynamics,University of Southampton,LEAD ORGANISATION,Edward,Richardson,Advanced modelling for two-phase reacting flows,Process engineering,Closed,EPSRC,11/13/2015,Fellowship,Career Acceleration Fellowship,10/1/2010,598558.27
Materials Characterisation,Amphora Non-destructive Testing Ltd,PROJECT PARTNER,W,McCarter,AN INTELLIGENT SYSTEM FOR PERFORMANCE MONITORING OF COVER-ZONE CONCRETE,Materials sciences,Closed,EPSRC,10/3/2011,Research Grant,Follow on Fund,10/4/2010,99387.88
Climate & Climate Change,University of Liverpool,LEAD ORGANISATION,Claire,Mahaffey,Physical and chemical forcing of diazotrophy in the (sub)-tropical Atlantic Ocean,Climate & climate change,Closed,NERC,3/31/2014,Research Grant,Standard Grant (FEC),10/4/2010,270168.55
Energy - Nuclear,University of Bristol,LEAD ORGANISATION,David,Smith,Performance and Reliability of Metallic Materials for Nuclear Fission Power Generation,Energy,Closed,EPSRC,10/3/2014,Research Grant,Standard Research,10/4/2010,228690.12
Materials testing & eng.,Defence Science & Tech Lab DSTL,PROJECT PARTNER,Trevor,Clyne,Breakthrough Studies on the Plasma Electrolytic Oxidation (PEO) Coating Process,Civil eng. & built environment,Closed,EPSRC,4/4/2015,Research Grant,Standard Research,10/4/2010,481414.76
Power Electronics,Aston University,LEAD ORGANISATION,Dani,Strickland,Inverter connected battery technology with advanced fault ride through capability on LV grid system to help offset the need for standby generation,Electrical engineering,Closed,EPSRC,1/4/2013,Research Grant,First Grant - Revised 2009,10/5/2010,98153.68
Lasers & Optics,University of Sheffield,LEAD ORGANISATION,John,Cockburn,Exploring Short Wavelength Limits for High Performance Quantum Cascade Lasers,"Optics, photonics & lasers",Closed,EPSRC,4/10/2014,Research Grant,Standard Research,10/11/2010,500498.24
Electrochemical Science & Eng.,University of Bath,LEAD ORGANISATION,Richard,Ball,An Electrochemical Approach to Study Carbonation of Novel Lime Based Materials,Catalysis & surfaces,Closed,EPSRC,1/31/2014,Research Grant,Standard Research,10/15/2010,138456.16
Materials testing & eng.,University of Southampton,LEAD ORGANISATION,Igor,Golosnoy,Breakthrough Studies on the Plasma Electrolytic Oxidation (PEO) Coating Process,Civil eng. & built environment,Closed,EPSRC,4/18/2013,Research Grant,Standard Research,10/19/2010,145410.46
Nuclear structure,University of Surrey,LEAD ORGANISATION,Wilton,Catford,TRIUMF travel for experiment S1107 with 24Na,Nuclear physics,Closed,STFC,1/23/2011,Research Grant,Standard (FEC),10/24/2010,3448.83
Nuclear structure,University of Brighton,LEAD ORGANISATION,Alison,Bruce,Travel to MSU (November 2010) for experiment on isobaric analogue states,Nuclear physics,Closed,STFC,2/28/2011,Research Grant,Standard (FEC),11/1/2010,2398.89
Tectonic Processes,University of Bristol,LEAD ORGANISATION,Robert,Sparks,CARIBRISK: Increasing resilience to volcanic eruptions in the eastern Caribbean; Northern Andes and Central America.,Geosciences,Closed,NERC,4/30/2011,Research Grant,Directed (Research Programmes),11/1/2010,29966.42
Bioelectronic Devices,Avacta Group Plc,PROJECT PARTNER,Christoph,Walti,Rapid Multiplexed Electronic Detection of Biomarkers for Point-of-Care Diagnostics (eTect),Info. & commun. Technol.,Closed,EPSRC,7/31/2011,Research Grant,Follow on Fund,11/1/2010,101348.59
Quantum Optics & Information,Imperial College London,LEAD ORGANISATION,Myungshik,Kim,Developing coherent states as a resource in quantum technology,"Optics, photonics & lasers",Closed,EPSRC,12/31/2011,Research Grant,Standard Research,11/1/2010,72502.25
Complexity Science,University College London,LEAD ORGANISATION,Michael,Batty,ANALOGIES: Analogues of Cities,Complexity science,Closed,EPSRC,4/30/2012,Research Grant,Standard Research,11/1/2010,201573.87
Sustainable Energy Networks,Loughborough University,LEAD ORGANISATION,Kevin,Lomas,Feasibility Studies - Energy; People; Buildings and Systems,Energy,Closed,EPSRC,4/30/2012,Research Grant,Standard Research,11/1/2010,202528.81
Bioelectronic Devices,University of Southampton,LEAD ORGANISATION,Eugen,Stulz,Molecular materials; sensors and circuits with nanometre resolution,Info. & commun. Technol.,Closed,EPSRC,4/30/2012,Research Grant,Standard Research,11/1/2010,201892.92
System on Chip,Lancaster University,LEAD ORGANISATION,Awais,Rashid,Social Media; Social Good: Ultra-Large Scale Public Engagement Systems to Challenge Anti-Social Behaviour,Info. & commun. Technol.,Closed,EPSRC,4/30/2012,Research Grant,Standard Research,11/1/2010,200395.7
Civil Engineering Materials,University of Sheffield,LEAD ORGANISATION,Anthony J,Ryan,Foams for living architecture,Materials processing,Closed,EPSRC,4/30/2012,Research Grant,Standard Research,11/1/2010,202111.38
Beyond the Standard Model,University College London,LEAD ORGANISATION,Nikolaos,Konstantinidis,ATLAS Upgrade project as previously described,Particle physics - experiment,Closed,STFC,4/30/2012,Research Grant,PPRP,11/1/2010,183598.28
Mathematical Physics,University of Glasgow,LEAD ORGANISATION,Daniel,Stevenson,String structures via higher gauge theory,Mathematical sciences,Closed,EPSRC,10/31/2012,Research Grant,First Grant - Revised 2009,11/1/2010,46978.38
Environment & Health,CNRS,PROJECT PARTNER,Eric,Odada,East African Great Lake Observatory,Medical & health interface,Closed,NERC,10/31/2012,Research Grant,Directed (Research Programmes),11/1/2010,221661.42
Catalysis & Applied Catalysis,University of Birmingham,LEAD ORGANISATION,Joseph,Wood,Understanding Bio-induced Selectivity in Nanoparticle Catalyst Manufacture,Catalysis & surfaces,Closed,EPSRC,10/31/2013,Research Grant,Standard Research,11/1/2010,528865.07
Surfaces & Interfaces,University of Sheffield,LEAD ORGANISATION,Graham,Leggett,easyNanofab: Large Area Fabrication for Bionanotechnology; Plasmonics and Molecular Nanoscience,Catalysis & surfaces,Closed,EPSRC,10/31/2013,Research Grant,Standard Research,11/1/2010,556891.9
Materials testing & eng.,Cardiff University,LEAD ORGANISATION,Stephane,BORDAS,Sustainable domain-specific software generation tools for extremely parallel particle-based simulations,Civil eng. & built environment,Closed,EPSRC,10/31/2013,Research Grant,Standard Research,11/1/2010,25586.31
Aerodynamics,Imperial College London,LEAD ORGANISATION,Jonathan,Morrison,Bluff-body drag reduction using feedback control,Mechanical engineering,Closed,EPSRC,10/31/2013,Research Grant,Standard Research,11/1/2010,589069.53
Condensed Matter Physics,University of St Andrews,LEAD ORGANISATION,Andrew,Green,Are Itinerant-Electron Quantum Critical Points Intrinsically Multicritical?,"Supercond, magn. &quant.fluids",Closed,EPSRC,10/31/2013,Research Grant,Standard Research,11/1/2010,308560.99
Civil Engineering Materials,University of Southampton,LEAD ORGANISATION,Guy,Denuault,An Electrochemical Approach to Study Carbonation of Novel Lime Based Materials,Materials processing,Closed,EPSRC,2/21/2014,Research Grant,Standard Research,11/1/2010,124952.83
Energy Efficiency,University of Southampton,LEAD ORGANISATION,Alexander,Rogers,Intelligent Agents for Home Energy Management,Energy,Closed,EPSRC,3/31/2014,Research Grant,Standard Research,11/1/2010,813140.76
Microsystems,Imperial College London (ICL),COLLABORATOR,Chris,Abell,Microdroplet technology - the next stage,Info. & commun. Technol.,Closed,EPSRC,4/30/2014,Research Grant,Standard Research,11/1/2010,1067242.63
Biomaterials,Imperial College London,LEAD ORGANISATION,Paul,Kelly,Multi-layered abstractions for PDEs,Atomic & molecular physics,Closed,EPSRC,4/30/2014,Research Grant,Standard Research,11/1/2010,491853.4
Energy - Nuclear,National Nuclear Laboratory Ltd,PROJECT PARTNER,Laurence,Harwood,MBase: The Molecular Basis of Advanced Nuclear Fuel Separations,Energy,Closed,EPSRC,4/30/2014,Research Grant,Standard Research,11/1/2010,212039.33
System on Chip,Virage Logic,PROJECT PARTNER,Paul,Holt,Dynamic Adaptation in Heterogeneous Multicore Embedded Processors,Info. & commun. Technol.,Closed,EPSRC,7/31/2014,Research Grant,Standard Research,11/1/2010,1217557.34
Cosmology,Swansea University,FELLOW,Gianmassimo,Tasinato,String Cosmology: New Tools to connect String Theory with Cosmological Observations,Particle astrophysics,Closed,STFC,10/31/2014,Fellowship,Advanced Fellowship (FEC),11/1/2010,416192.46
Climate & Climate Change,University of Warwick,PROJECT PARTNER,Angela,Hatton,Addressing the ocean methane paradox: the role of microenvironments in oceanic methane production,Climate & climate change,Closed,NERC,1/31/2015,Research Grant,Standard Grant (FEC),11/1/2010,465988.06
Quantum Optics & Information,Princeton University,COLLABORATOR,Peter,Barker,Cavity optomechanics: towards sensing at the quantum limit,"Optics, photonics & lasers",Closed,EPSRC,4/30/2015,Research Grant,Standard Research,11/1/2010,814268.13
Materials Characterisation,University of Liverpool,PROJECT PARTNER,Richard,Hill,Diamagnetic levitation for studies of fluids and granules in weightless conditions; and for interdisciplinary science,Materials sciences,Closed,EPSRC,10/31/2015,Fellowship,Career Acceleration Fellowship,11/1/2010,671305.67
Med.Instrument.Device& Equip.,University of Sheffield,LEAD ORGANISATION,Frederik,Claeyssens,Scaffolds for Neural Tissue Engineering,Medical & health interface,Closed,EPSRC,11/1/2012,Research Grant,First Grant - Revised 2009,11/2/2010,98276.98
Quantum Optics & Information,University of Birmingham,LEAD ORGANISATION,Vincent,Boyer,Spatially multimode squeezed light for quantum imaging and one-way quantum computing,"Optics, photonics & lasers",Closed,EPSRC,11/1/2012,Research Grant,First Grant - Revised 2009,11/2/2010,63520.1
Multiphase Flow,University of Bath,LEAD ORGANISATION,Michael,Bird,Multi-scale particle-flow interactions in deformable porous structures,Process engineering,Closed,EPSRC,11/2/2012,Research Grant,Standard Research,11/3/2010,177948.56
Plasmas - Laser & Fusion,Queen's University of Belfast,LEAD ORGANISATION,David,Riley,Warm Dense Matter experiments LCLS free electron laser,Plasma physics,Closed,EPSRC,2/19/2011,Research Grant,Overseas Travel Grants (OTGS),11/20/2010,9347.1
Materials Processing,Jadavpur University,COLLABORATOR,John,Hedley,Utilising graphene for biosensing,Materials processing,Closed,EPSRC,3/21/2012,Research Grant,Standard Research,11/22/2010,202223.33
Lasers & Optics,University of Sheffield,COLLABORATOR,Stephen,Sweeney,Exploring Short Wavelength Limits for High Performance Quantum Cascade Lasers,"Optics, photonics & lasers",Closed,EPSRC,5/21/2014,Research Grant,Standard Research,11/22/2010,168364.01
Plasmas - Laser & Fusion,University of Warwick,LEAD ORGANISATION,Dirk,Gericke,International Collaborations on High Energy Density Matter,Plasma physics,Closed,EPSRC,10/24/2011,Research Grant,Overseas Travel Grants (OTGS),11/25/2010,7978.4
Beyond the Standard Model,Rutherford Appleton Laboratory; Harwell,COLLABORATOR,Henrique,Araujo,ZEPLIN-III SSR EXTENSION,Particle physics - experiment,Closed,STFC,3/1/2011,Research Grant,Standard (FEC),12/1/2010,27702.85
Drug Formulation & Delivery,University of Edinburgh,LEAD ORGANISATION,Mark,Bradley,in vivo chemistry,Medical & health interface,Closed,EPSRC,2/29/2012,Research Grant,Standard Research,12/1/2010,201854.12
Environment & Health,University of Cambridge,LEAD ORGANISATION,William,Amos,Social influences on aging in a wild cooperative mammal,Medical & health interface,Closed,NERC,5/31/2012,Research Grant,Standard Grant (FEC),12/1/2010,59903.08
Electronic Devices & Subsys.,National Physical Laboratory (NPL),COLLABORATOR,M,Shkunov,From Nanowires to Printed Electronics,Info. & commun. Technol.,Closed,EPSRC,11/30/2012,Research Grant,First Grant - Revised 2009,12/1/2010,100880.63
Optical Devices & Subsystems,University of Cambridge,LEAD ORGANISATION,Harry,Coles,COSMOS Technology Translation Proposal,Electrical engineering,Closed,EPSRC,5/31/2013,Research Grant,Standard Research,12/1/2010,864032.56
Ecosystem Scale Processes,Massachusetts Institute of Technology (MIT),COLLABORATOR,David,Milledge,Understanding transient response to climate change in coupled hydro-eco-geomorphic landscapes,Terrest. & freshwater environ.,Closed,NERC,11/30/2013,Fellowship,Postdoctoral Fellow (FEC),12/1/2010,246126.86
Surfaces & Interfaces,Durham University,LEAD ORGANISATION,Colin David,Bain,Catch and Release Chemistry: Reversible Adsorption on Dendrimer and Polymer Functionalized Surfaces,Catalysis & surfaces,Closed,EPSRC,2/28/2014,Research Grant,Standard Research,12/1/2010,465660.11
Particle Technology,University of Cambridge,LEAD ORGANISATION,Daan,Frenkel,Computing entropy and ordering of granular matter: from description to prediction,Materials processing,Closed,EPSRC,5/31/2014,Research Grant,Standard Research,12/1/2010,326789.32
Materials Synthesis & Growth,University of Strathclyde,LEAD ORGANISATION,Robert,Martin,Amorphous and crystalline GaNAs alloys for solar energy conversion devices,Materials sciences,Closed,EPSRC,9/30/2014,Research Grant,Standard Research,12/1/2010,167515.11
Scattering & Spectroscopy,University of Leicester,LEAD ORGANISATION,Shengfu,Yang,Seed-induced penetration: a new tool for the synthesis of core-shell nanoparticles using superfluid helium droplets,Atomic & molecular physics,Closed,EPSRC,11/30/2014,Research Grant,Standard Research,12/1/2010,813758.7
Surfaces & Interfaces,University of Liverpool,LEAD ORGANISATION,Simon,Higgins,Medium effects in single molecule electronics,Catalysis & surfaces,Closed,EPSRC,11/30/2014,Research Grant,Standard Research,12/1/2010,325979.27
Energy - Nuclear,Loughborough University,LEAD ORGANISATION,Roger,Smith,Performance and Reliability of Metallic Materials for Nuclear Fission Power Generation,Energy,Closed,EPSRC,3/31/2015,Research Grant,Standard Research,12/1/2010,106955.23
Eng. Dynamics & Tribology,Shell UK Ltd,PROJECT PARTNER,Francesco,Simonetti,Guided Wave Tomography for Accurate Corrosion Mapping in Inaccessible Areas,Mechanical engineering,Closed,EPSRC,12/5/2013,Research Grant,Standard Research,12/6/2010,285148.41
Analytical Science,University of Bath,LEAD ORGANISATION,Charles,Wilson,Advanced applications of SXD in structural evolution in molecular systems; and towards chemical applications of LMX,"Tools, technologies & methods",Closed,EPSRC,11/6/2011,Research Grant,Standard Research,12/7/2010,43229.418
Medical science & disease,University of Exeter,LEAD ORGANISATION,Robert,Beardmore,Bacteriophage and Antibiotic Resistance: a Mathematical and Imaging Approach (C-DIP enhancement),Medical & health interface,Active,EPSRC,6/6/2016,Research Grant,Standard Research,12/7/2010,83702.02
Palaeoenvironments,University of Leeds,LEAD ORGANISATION,Jane,Francis,Impact of global disturbances on the evolution of life in the polar regions during the early Cenozoic PALEOPOLAR,Climate & climate change,Closed,NERC,9/30/2013,Research Grant,Directed (Research Programmes),12/8/2010,241451.22
Surfaces & Interfaces,University of Oxford,LEAD ORGANISATION,Ramin,Golestanian,The Casimir Force in Complex Topologies and its Utility in Nanomachines,Catalysis & surfaces,Closed,EPSRC,12/12/2011,Research Grant,Standard Research,12/13/2010,35354.97
Materials Characterisation,University of Sheffield,LEAD ORGANISATION,Graham,Leggett,Low-Dimensional Chemistry,Materials sciences,Active,EPSRC,6/15/2016,Research Grant,Programme Grants,12/15/2010,4050175.194
Cold Atomic Species,Imperial College London,LEAD ORGANISATION,Edward,Hinds,MMQA: MicroKelvin Molecules in a Quantum Array,Atomic & molecular physics,Active,EPSRC,11/17/2016,Research Grant,Programme Grants,12/15/2010,6380561.252
Beyond the Standard Model,Faculty of Natural Sciences,COLLABORATOR,Pedro,Teixeira-Dias,GridPP3 tranche2 funds to support operation of the LondonGrid computing facilities at RHUL,Particle physics - experiment,Closed,STFC,9/16/2011,Research Grant,Standard (FEC),12/17/2010,87599.81
Energy - Nuclear,University of Oxford,LEAD ORGANISATION,Chris,Grovenor,Performance and Reliability of Metallic Materials for Nuclear Fission Power Generation,Energy,Closed,EPSRC,12/20/2014,Research Grant,Standard Research,12/21/2010,279779.42
Image & Vision Computing,University of Lincoln,LEAD ORGANISATION,Nigel,Allinson,Application of intelligent imaging sensors to image guided and intensity modulated radiotherapy,Info. & commun. Technol.,Closed,EPSRC,10/31/2011,Research Grant,Standard Research,1/1/2011,86188.752
RF & Microwave Technology,Fraunhofer Institute for Reliability and Micro Integration (IZM),COLLABORATOR,S,Salous,PATRICIAN: New Paradigms for Body Centric Wireless Communications at MM Wavelengths,Info. & commun. Technol.,Closed,EPSRC,12/31/2011,Research Grant,Standard Research,1/1/2011,125008.78
Optoelect. Devices & Circuits,T-Ray Science Inc,PROJECT PARTNER,Edmund Harold,Linfield,The development of a low cost; fibre coupled terahertz spectrometer,Electrical engineering,Closed,EPSRC,12/31/2011,Research Grant,Follow on Fund,1/1/2011,148329.25
Materials Synthesis & Growth,Sasol Technology,PROJECT PARTNER,Graham,Hutchings,Novel nanorod oxidation catalysts,Materials sciences,Closed,EPSRC,12/31/2011,Research Grant,Follow on Fund,1/1/2011,156810.4
Analytical Science,Aarhus University,PROJECT PARTNER,Christopher,Calvert,Next Generation Techniques for Analysis of Biomolecular Systems,"Tools, technologies & methods",Closed,EPSRC,1/13/2012,Fellowship,Postdoc Research Fellowship,1/1/2011,251695.64
Medical science & disease,Imperial College London,LEAD ORGANISATION,Thomas,Quinn,INTEGRATED EXPERIMENTAL AND COMPUTATIONAL RESEARCH TOOLS FOR THE STUDY OF ACUTE ISCHAEMIC EFFECTS ON CARDIAC MECHANO-ELECTRICAL INTERACTIONS,Medical & health interface,Closed,EPSRC,3/31/2012,Fellowship,Postdoc Research Fellowship,1/1/2011,99648.016
Plasmas - Technological,University of Sheffield,LEAD ORGANISATION,William,Zimmerman,Dual mode plasma UV microreactor for ozonolysis and hydrogenation green chemistry,Plasma physics,Closed,EPSRC,4/30/2012,Research Grant,Follow on Fund,1/1/2011,101988.09
Palaeoenvironments,University of Bristol,LEAD ORGANISATION,Andy,Ridgwell,Orbital Modulation of Eocene Carbon Cycle and Climate (OMECCC),Climate & climate change,Closed,NERC,6/30/2012,Research Grant,Directed (Research Programmes),1/1/2011,46636.08
Survey & Monitoring,Wildwood Trust,PROJECT PARTNER,Richard,Griffiths,Development of standardised protocols for assessing reptile and amphibian populations,Instrument. sensor & detectors,Closed,NERC,12/31/2012,Research Grant,Knowledge Exchange (FEC),1/1/2011,85866.52
Medical science & disease,University of Lincoln,LEAD ORGANISATION,Nigel,Allinson,MI-3 Plus,Medical & health interface,Closed,EPSRC,1/31/2013,Research Grant,Standard Research,1/1/2011,989110.18
Analytical Science,Spanish National Research Council CSIC,PROJECT PARTNER,Robert,Jacobs,Smart Composites for Minimising Bacterial Biofilm Formation,"Tools, technologies & methods",Closed,EPSRC,4/30/2013,Research Grant,Standard Research,1/1/2011,20248.91
Optoelect. Devices & Circuits,Harvard University,COLLABORATOR,Rachel,Oliver,Materials World Network to Optimize the Growth of InGaN Quantum Dots within High Quality Optical Micro-Cavities,Electrical engineering,Closed,EPSRC,12/31/2013,Research Grant,Standard Research,1/1/2011,587425.39
Climate & Climate Change,University College London,LEAD ORGANISATION,Paul,Bown,Abrupt Ocean Acidification Events,Climate & climate change,Closed,NERC,12/31/2013,Research Grant,Directed (Research Programmes),1/1/2011,18003.08
Climate & Climate Change,University of Queensland,PROJECT PARTNER,John,Bythell,Re-evaluation of the emergence of reef coral diseases based on the importance of ciliate infections,Climate & climate change,Closed,NERC,12/31/2013,Research Grant,Standard Grant (FEC),1/1/2011,323987.88
RF & Microwave Technology,University College London,LEAD ORGANISATION,Federico,Fernandez,Liquid-Crystal-Based Beam Steerable Planar Antennas for 60 GHz Wireless Networks,Info. & commun. Technol.,Closed,EPSRC,4/30/2014,Research Grant,Standard Research,1/1/2011,326847.17
Complex fluids & soft solids,University of Strathclyde,LEAD ORGANISATION,Rein,Ulijn,Enzyme-responsive Microgels,Catalysis & surfaces,Closed,EPSRC,6/30/2014,Research Grant,Standard Research,1/1/2011,125337.52
Climate & Climate Change,NERC Centre for Ecology and Hydrology,LEAD ORGANISATION,Christopher,Taylor,Soil Water - Climate Feedbacks in Europe in the 21st Century (SWELTER-21),Climate & climate change,Closed,NERC,6/30/2014,Research Grant,Directed (Research Programmes),1/1/2011,366857.41
Tectonic Processes,University of Edinburgh,LEAD ORGANISATION,Ian,Main,Hazard forecasting in real time: from controlled laboratory tests to volcanoes and earthquakes,Geosciences,Closed,NERC,6/30/2014,Research Grant,Standard Grant (FEC),1/1/2011,526969.17
Aerodynamics,Rolls-Royce plc,PROJECT PARTNER,Matthew,Juniper,AIM (Advanced Instability Methods) for industry,Mechanical engineering,Closed,EPSRC,6/30/2014,Research Grant,Standard Research,1/1/2011,337952.18
Bioelectronic Devices,NHS Blood and Transplant (NHSBT),COLLABORATOR,John,Fisher,Innovation and Knowledge Centre Regenerative Therapies and Devices Tranche 1 IKC RTD,Info. & commun. Technol.,Closed,EPSRC,12/31/2014,Research Grant,Standard Research,1/1/2011,2761091.03
Materials Characterisation,UltraVision CLPL,PROJECT PARTNER,Ahmed,Elsheikh,Determination of Corneal Biomechanical Properties in vivo,Materials sciences,Closed,EPSRC,6/30/2015,Research Grant,Standard Research,1/1/2011,397413.49
Environment & Health,St George's University of London,LEAD ORGANISATION,Richard,Atkinson,Air pollution and weather-related health impacts: methodological study based on spatiotemporally disaggregated multi-pollutant models,Medical & health interface,Closed,NERC,11/30/2015,Research Grant,Directed (Research Programmes),1/1/2011,261653.29
Biomedical neuroscience,University of Bristol,LEAD ORGANISATION,Maciej,Klemm,Cross-disciplinary Interfaces Programme (C-DIP) Fellowship Fund,Medical & health interface,Active,EPSRC,12/31/2015,Research Grant,Standard Research,1/1/2011,65339.86
Fluid Dynamics,University of Warwick,COLLABORATOR,Jason,Reese,Non-Equilibrium Fluid Dynamics for Micro/Nano Engineering Systems,Process engineering,Active,EPSRC,2/16/2016,Research Grant,Programme Grants,1/1/2011,2443639.31
Energy - Nuclear,SERCO ASSURANCE LTD,PROJECT PARTNER,Michael,Preuss,Enhancing nuclear fuel efficiency through improved understanding of irradiation damage in zirconium cladding,Energy,Active,EPSRC,3/31/2017,Fellowship,Leadership Fellowships,1/1/2011,1500011.86
Analytical Science,The University of Manchester,LEAD ORGANISATION,Sabine,Flitsch,MIB CDFA - Application of novel imaging technologies towards quantitative analytical phenotyping of single cells,"Tools, technologies & methods",Closed,EPSRC,1/2/2012,Research Grant,Standard Research,1/3/2011,201216.41
Materials Synthesis & Growth,Paris 13 University,COLLABORATOR,Ronald,Atkinson,Magneto-Optic and Ellipsometric study of nanostructured media,Materials sciences,Closed,EPSRC,1/2/2014,Research Grant,Standard Research,1/3/2011,440506.26
Optical Phenomena,University of Glasgow,LEAD ORGANISATION,Miles,Padgett,Challenges in Orbital Angular Momentum,"Optics, photonics & lasers",Active,EPSRC,12/31/2015,Research Grant,Programme Grants,1/3/2011,2097831.53
Solar Technology,Lancosolar,PROJECT PARTNER,Ralph,Gottschalg,Stability and Performance of Photovoltaics (STAPP),Energy,Closed,EPSRC,1/3/2015,Research Grant,Standard Research,1/4/2011,2417459.66
Biomaterials,University of Birmingham,LEAD ORGANISATION,Owen,Addison,Resin strengthening of dental ceramics to prevent fracture of restorations in service,Atomic & molecular physics,Closed,EPSRC,1/4/2012,Research Grant,First Grant - Revised 2009,1/5/2011,98492.53
Instrumentation Eng. & Dev.,Aston University,LEAD ORGANISATION,Andrew,Pitt,The Molecular Nose,Chemical measurement,Closed,EPSRC,4/8/2012,Research Grant,Standard Research,1/10/2011,1450607.632
Vision & Senses - ICT appl.,Bangor University,LEAD ORGANISATION,Rafal,Mantiuk,Quantifying image quality in computer graphics,Info. & commun. Technol.,Closed,EPSRC,5/31/2012,Research Grant,First Grant - Revised 2009,1/10/2011,100739.04
Materials Synthesis & Growth,University of Southampton,LEAD ORGANISATION,G,Reid,Phase Change Memory Materials via Non-Aqueous Electrodeposition into Nano-structured Templates,Materials sciences,Closed,EPSRC,1/9/2015,Research Grant,Standard Research,1/10/2011,916817.5
Palaeoenvironments,GNS Science,PROJECT PARTNER,J,Crame,Impact of global disturbances on the evolution of life in the polar regions during the early Cenozoic (PALEOPOLAR),Climate & climate change,Closed,NERC,12/31/2015,Research Grant,Directed (Research Programmes),1/12/2011,340437.96
Fuel Cell Technologies,MAST Carbon International Ltd,PROJECT PARTNER,Christopher,Blanford,Three-dimensional laccase electrodes for miniaturised fuel cell power sources,Energy,Closed,EPSRC,11/29/2013,Fellowship,Career Acceleration Fellowship,1/15/2011,429910.19
Materials Characterisation,Sheffield Hallam University,LEAD ORGANISATION,Robert,Akid,Probiotic; biocide-free antifouling coatings based upon sol-gel encapsulated micro-organisms,Materials sciences,Closed,EPSRC,1/30/2012,Research Grant,Follow on Fund,1/31/2011,131170.85
